127.0.0.1 - - [02/Sep/2024:14:34:03 -0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Sep/2024:14:34:04 -0700] "GET /Enotes_Project/ HTTP/1.1" 200 3406
0:0:0:0:0:0:0:1 - - [02/Sep/2024:14:34:04 -0700] "GET /Enotes_Project/css/style.css HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [02/Sep/2024:14:34:04 -0700] "GET /Enotes_Project/image/notebook1.jpg HTTP/1.1" 200 41840
0:0:0:0:0:0:0:1 - - [02/Sep/2024:14:34:22 -0700] "GET /Enotes_Project/ HTTP/1.1" 200 3406
0:0:0:0:0:0:0:1 - - [02/Sep/2024:14:34:22 -0700] "GET /Enotes_Project/css/style.css HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [02/Sep/2024:14:34:22 -0700] "GET /Enotes_Project/image/notebook1.jpg HTTP/1.1" 200 41840
0:0:0:0:0:0:0:1 - - [02/Sep/2024:14:34:22 -0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Sep/2024:14:34:28 -0700] "GET /Enotes_Project/register.jsp HTTP/1.1" 200 3977
0:0:0:0:0:0:0:1 - - [02/Sep/2024:14:34:40 -0700] "POST /Enotes_Project/UserServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2024:14:34:40 -0700] "GET /Enotes_Project/register.jsp HTTP/1.1" 200 4113
0:0:0:0:0:0:0:1 - - [02/Sep/2024:14:34:47 -0700] "GET /Enotes_Project/login.jsp HTTP/1.1" 200 3803
0:0:0:0:0:0:0:1 - - [02/Sep/2024:14:34:55 -0700] "POST /Enotes_Project/loginSevlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2024:14:34:55 -0700] "GET /Enotes_Project/home.jsp HTTP/1.1" 200 4714
0:0:0:0:0:0:0:1 - - [02/Sep/2024:14:34:55 -0700] "GET /Enotes_Project/image/notes.gif HTTP/1.1" 200 855719
