127.0.0.1 - - [09/Oct/2024:22:36:47 -0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Oct/2024:22:36:48 -0700] "GET /Enotes_Project/ HTTP/1.1" 200 3406
0:0:0:0:0:0:0:1 - - [09/Oct/2024:22:36:48 -0700] "GET /Enotes_Project/css/style.css HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [09/Oct/2024:22:36:49 -0700] "GET /Enotes_Project/image/notebook1.jpg HTTP/1.1" 200 41840
0:0:0:0:0:0:0:1 - - [09/Oct/2024:22:36:52 -0700] "GET /Enotes_Project/login.jsp HTTP/1.1" 200 3803
0:0:0:0:0:0:0:1 - - [09/Oct/2024:22:37:27 -0700] "POST /Enotes_Project/loginSevlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2024:22:37:27 -0700] "GET /Enotes_Project/login.jsp HTTP/1.1" 200 3906
0:0:0:0:0:0:0:1 - - [09/Oct/2024:22:37:54 -0700] "GET /Enotes_Project/register.jsp HTTP/1.1" 200 3977
0:0:0:0:0:0:0:1 - - [09/Oct/2024:22:37:59 -0700] "GET /Enotes_Project/login.jsp HTTP/1.1" 200 3803
0:0:0:0:0:0:0:1 - - [09/Oct/2024:22:38:01 -0700] "GET /Enotes_Project/register.jsp HTTP/1.1" 200 3977
0:0:0:0:0:0:0:1 - - [09/Oct/2024:22:38:51 -0700] "POST /Enotes_Project/UserServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2024:22:38:51 -0700] "GET /Enotes_Project/register.jsp HTTP/1.1" 200 4113
0:0:0:0:0:0:0:1 - - [09/Oct/2024:22:39:01 -0700] "GET /Enotes_Project/login.jsp HTTP/1.1" 200 3803
0:0:0:0:0:0:0:1 - - [09/Oct/2024:22:39:32 -0700] "POST /Enotes_Project/loginSevlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2024:22:39:32 -0700] "GET /Enotes_Project/login.jsp HTTP/1.1" 200 3906
